spatial_element,psychological_perception,behavioral_motivation,relation_type,image_id,behavioral_motivation_standardized
buildings,feeling of unconfined space,movement towards larger areas,positive,201311_113.9934289_22.598725899999998.png,promotes interaction
green,calming environment,desire to engage with nature,positive,201311_113.9934289_22.598725899999998.png,invites outdoor activities
pathways,invitation for exploration,walking and discovering,positive,201311_113.9934289_22.598725899999998.png,exploration of environment
road,limited exploration,reduced movement,negative,201311_113.9956108_22.602901100000004.png,diminished engagement
buildings,defined boundaries,restricted exploration,negative,201311_113.9956108_22.602901100000004.png,reduction of movement
water,danger indication,avoidance behavior,negative,201311_113.9956108_22.602901100000004.png,avoidance of venturing
landscaped areas,limited possibilities,hesitation to explore,negative,201311_113.9956108_22.602901100000004.png,exploratory hesitation
road,potential for movement,exploration,positive,201311_113.9849525_22.597865099999996.png,exploration
sidewalks,sense of scale,movement,positive,201311_113.9849525_22.597865099999996.png,unrestricted movement
fences,limited exploration,restricted movement,negative,201311_113.9849525_22.597865099999996.png,diminished engagement
boundaries,implied restrictions,cautious navigation,negative,201311_113.9849525_22.597865099999996.png,careful navigation
built environment,visible extent,curiosity,neutral,201311_113.9849525_22.597865099999996.png,promotes interaction
trees,sense of exploration,wander and discover,positive,201311_113.97215286575438_22.599851368800312.png,exploration of environment
sidewalks,sense of freedom,movement,positive,201311_113.97215286575438_22.599851368800312.png,unrestricted movement
wooded area,sense of openness,exploration,positive,201311_113.97215286575438_22.599851368800312.png,exploration
road,constrained exploration,limited movement,negative,201311_114.010794_22.5554258.png,diminished engagement
buildings,sense of confinement,restricted exploration,negative,201311_114.010794_22.5554258.png,reduction of movement
traffic,feeling of danger,avoidance of areas,negative,201311_114.010794_22.5554258.png,avoidance of venturing
boundaries,lack of freedom,hesitation to explore,negative,201311_114.010794_22.5554258.png,exploratory hesitation
street,sense of openness,exploration in multiple directions,positive,201311_114.00419846671053_22.673102084815238.png,exploration of environment
buildings,potential for movement,further exploration,positive,201311_114.00419846671053_22.673102084815238.png,exploration of environment
road,sense of vastness,exploration,positive,201311_113.9934635_22.605469299999996.png,exploration
greenery,feeling of space,exploration,positive,201311_113.9934635_22.605469299999996.png,exploration
mountains,broader area to explore,exploration,positive,201311_113.9934635_22.605469299999996.png,exploration
sky,sense of openness,exploration,positive,201311_113.9934635_22.605469299999996.png,exploration
pathways,reasonable feeling of space,exploration,positive,201311_113.9934635_22.605469299999996.png,exploration
roads,sense of exploration,encourages movement,positive,201311_113.9978764_22.603342699999995.png,promotes interaction
spaces,feeling of openness,promotes wandering,positive,201311_113.9978764_22.603342699999995.png,promotes interaction
infrastructure,sense of limitation,restricts exploration,negative,201311_113.9978764_22.603342699999995.png,reduction of movement
buildings,feeling of confinement,discourages movement,negative,201311_113.9978764_22.603342699999995.png,discourages wandering
trees,sense of nature,encourages exploration,positive,201311_114.0367137_22.625328199999995.png,promotes interaction
buildings,feeling of confinement,limits exploration,negative,201311_114.0367137_22.625328199999995.png,limit mobility
fences,sense of restriction,discourages movement,negative,201311_114.0367137_22.625328199999995.png,discourages wandering
road,pathway for movement,facilitates navigation,positive,201311_114.0367137_22.625328199999995.png,facilitates navigation
complex,feeling of community,promotes social interaction,positive,201311_114.0367137_22.625328199999995.png,invites engagement
intersection,sense of openness,exploration,positive,201311_114.108805_22.539949000000004.png,exploration
roads,freedom of movement,navigating,positive,201311_114.108805_22.539949000000004.png,navigating through spaces
sidewalks,safety,walking,positive,201311_114.108805_22.539949000000004.png,unrestricted movement
buildings,urban familiarity,exploring surroundings,positive,201311_114.108805_22.539949000000004.png,exploration of environment
buildings,limited exploration,walking along sidewalk,negative,201311_114.1329892_22.5822593.png,movement within the environment
traffic,constrained movement,hesitation to explore,negative,201311_114.1329892_22.5822593.png,exploratory hesitation
infrastructure,lack of openness,restricted navigation,negative,201311_114.1329892_22.5822593.png,constrained travel options
buildings,sense of boundaries,limited exploration,negative,201311_114.07813510000001_22.5592236.png,limited exploration
roads,feeling of confinement,restricted movement,negative,201311_114.07813510000001_22.5592236.png,diminished engagement
pathways,sense of direction,navigating within limits,neutral,201311_114.07813510000001_22.5592236.png,constrained mobility
commercial areas,sense of activity,engaging with surroundings,positive,201311_114.07813510000001_22.5592236.png,exploring further
road,limited exploration,restricted movement,negative,201311_114.0918839_22.580004399999996.png,diminished engagement
cliff,uninviting environment,avoidance of area,negative,201311_114.0918839_22.580004399999996.png,avoidance of venturing
debris,sense of boundaries,hesitation to explore,negative,201311_114.0918839_22.580004399999996.png,exploratory hesitation
fence,feeling of confinement,limited wandering,negative,201311_114.0918839_22.580004399999996.png,constrained mobility
landscape,transitional zone,lack of engagement,negative,201311_114.0918839_22.580004399999996.png,restricted interaction
road,potential for exploration,movement,positive,201311_114.1260936_22.5848949.png,unrestricted movement
slopes,sense of openness,exploration,positive,201311_114.1260936_22.5848949.png,exploration
urban,sense of limitation,hesitation to explore,negative,201311_114.1260936_22.5848949.png,exploratory hesitation
buildings,moderate sense of scope,exploration,positive,201311_114.0363794_22.549060799999996.png,exploration
greenery,suggests pathways,movement,positive,201311_114.0363794_22.549060799999996.png,unrestricted movement
roads,allows for movement,navigation,positive,201311_114.0363794_22.549060799999996.png,navigating through spaces
sidewalks,facilitates movement,walking,positive,201311_114.0363794_22.549060799999996.png,unrestricted movement
construction,limits feeling of exploration,hesitation,negative,201311_114.0363794_22.549060799999996.png,hesitation
buildings,restricted exploration,limited movement,negative,201311_114.1331646_22.6036264.png,diminished engagement
vehicles,constrained freedom,hesitant walking,negative,201311_114.1331646_22.6036264.png,cautious engagement
stalls,defined space,navigating through,negative,201311_114.1331646_22.6036264.png,navigating through spaces
street,sense of direction,walking down,neutral,201311_114.1331646_22.6036264.png,unrestricted movement
road,sense of potential exploration,exploration,positive,201311_114.13313586110559_22.60543104368196.png,exploration
fences,limited feeling of unbounded space,restricted movement,negative,201311_114.13313586110559_22.60543104368196.png,diminished engagement
structures,limited freedom for movement,hesitation to explore,negative,201311_114.13313586110559_22.60543104368196.png,exploratory hesitation
street,limited exploration,restricted movement,negative,201311_114.1398083_22.565269999999995.png,diminished engagement
buildings,urban confinement,hesitant navigation,negative,201311_114.1398083_22.565269999999995.png,cautious engagement
traffic,stressful environment,avoidance of areas,negative,201311_114.1398083_22.565269999999995.png,avoidance of venturing
barriers,sense of obstruction,reduced exploration,negative,201311_114.1398083_22.565269999999995.png,limited exploration
roads,structured movement,following paths,neutral,201311_114.1398083_22.565269999999995.png,designated movement
trees,defined route,exploration,positive,201311_114.13318312310899_22.60182164061621.png,exploration
walls,limited exploration,hesitation,negative,201311_114.13318312310899_22.60182164061621.png,hesitation
buildings,framed surroundings,moderate engagement,neutral,201311_114.13318312310899_22.60182164061621.png,careful navigation
path,sense of exploration,wander further,positive,201311_114.1422458_22.573539200000006.png,exploring areas
trees,inviting atmosphere,engage with nature,positive,201311_114.1422458_22.573539200000006.png,encourages movement
vegetation,implied boundaries,navigate space,neutral,201311_114.1422458_22.573539200000006.png,navigating urban spaces
intersection,strong sense of scope,exploration,positive,201311_114.158799_22.6090681.png,exploration
roads,ample space,exploration,positive,201311_114.158799_22.6090681.png,exploration
sky,clear and open,movement,positive,201311_114.158799_22.6090681.png,unrestricted movement
hills,distant view,exploration,positive,201311_114.158799_22.6090681.png,exploration
buildings,visible expanse,exploration,positive,201311_114.158799_22.6090681.png,exploration
road,sense of exploration,movement along the path,positive,201311_114.1664523_22.6055109.png,walking along the sidewalk
buildings,sense of scale,engagement with surroundings,positive,201311_114.1664523_22.6055109.png,encourages movement
barriers,feeling of limitation,hesitation to move,negative,201311_114.1664523_22.6055109.png,exploratory hesitation
walls,limited sense of freedom,hesitation to explore,negative,201311_114.14111260000001_22.612017599999994.png,exploratory hesitation
fences,constrained movement,avoidance of open spaces,negative,201311_114.14111260000001_22.612017599999994.png,avoidance of pedestrian activities
buildings,defined boundaries,staying within limits,neutral,201311_114.14111260000001_22.612017599999994.png,navigating within boundaries
road,structured navigation,following paths,positive,201311_114.14111260000001_22.612017599999994.png,designated movement
sidewalk,safe movement,walking confidently,positive,201311_114.14111260000001_22.612017599999994.png,roam freely
road,sense of openness,exploration,positive,201311_114.1699075_22.572947699999997.png,exploration
greenery,potential for exploration,engagement with nature,positive,201311_114.1699075_22.572947699999997.png,encourages movement
buildings,suggests larger landscape,curiosity,positive,201311_114.1699075_22.572947699999997.png,promotes interaction
residences,implies limitations,restricted movement,negative,201311_114.1699075_22.572947699999997.png,diminished engagement
boundaries,sense of confinement,hesitation to explore,negative,201311_114.1699075_22.572947699999997.png,exploratory hesitation
street,sense of breadth,potential for movement,positive,201311_114.1708255_22.6072058.png,increased activity
land,sense of openness,encouragement to explore,positive,201311_114.1708255_22.6072058.png,promotes interaction
buildings,sense of limitation,restricted movement,negative,201311_114.1708255_22.6072058.png,diminished engagement
cars,sense of confinement,discouragement from exploration,negative,201311_114.1708255_22.6072058.png,limits foot traffic
road,sense of journey,exploration,positive,201311_114.1753739_22.602115699999995.png,exploration
fences,feeling of confinement,hesitation to explore,negative,201311_114.1753739_22.602115699999995.png,exploratory hesitation
buildings,sense of structure,navigation,neutral,201311_114.1753739_22.602115699999995.png,navigating through spaces
green spaces,calming effect,relaxation,positive,201311_114.1753739_22.602115699999995.png,seeking respite
traffic infrastructure,awareness of boundaries,caution in movement,negative,201311_114.1753739_22.602115699999995.png,cautious engagement
path,potential for exploration,wander and discover,positive,201311_114.1712754_22.5966659.png,exploration of environment
hillsides,sense of openness,explore surroundings,positive,201311_114.1712754_22.5966659.png,exploring areas
foliage,feeling of immersion,engage with nature,positive,201311_114.1712754_22.5966659.png,encourages movement
road,visual depth,navigate the space,positive,201311_114.1712754_22.5966659.png,navigating urban spaces
elevations,sense of scale,explore varied terrain,positive,201311_114.1712754_22.5966659.png,exploration in different directions
highway,sense of vastness,potential for travel,positive,201311_114.1766153913743_22.62211635756483.png,encourages movement
infrastructure,limited exploration,feel less open,negative,201311_114.1766153913743_22.62211635756483.png,restricted movement
road,sense of confinement,restrict informal wandering,negative,201311_114.1766153913743_22.62211635756483.png,limits foot traffic
road,limited exploration,avoidance of exploration,negative,201311_114.1715729_22.579913799999993.png,discourage exploration
foliage,potential for exploration,encouragement to explore,positive,201311_114.1715729_22.579913799999993.png,promotes interaction
landscape,implied depth,engagement with surroundings,positive,201311_114.1715729_22.579913799999993.png,encourages movement
boundaries,sense of confinement,hesitation to explore,negative,201311_114.1715729_22.579913799999993.png,exploratory hesitation
highway,sense of vastness,exploration,positive,201311_114.16919617982792_22.62714279983004.png,exploration
sky,feeling of openness,movement,positive,201311_114.16919617982792_22.62714279983004.png,unrestricted movement
hills,natural boundaries,limited movement,neutral,201311_114.16919617982792_22.62714279983004.png,diminished engagement
vegetation,sense of enclosure,restricted exploration,negative,201311_114.16919617982792_22.62714279983004.png,reduction of movement
road,journey into a wider world,travel,positive,201311_114.16919617982792_22.62714279983004.png,facilitates walking and cycling
road,sense of exploration,encourages movement,positive,201311_114.1856469_22.5908533.png,promotes interaction
hills,feeling of openness,invites curiosity,positive,201311_114.1856469_22.5908533.png,curiosity about the area
guardrails,sense of restriction,limits exploration,negative,201311_114.1856469_22.5908533.png,limit mobility
buildings,sense of confinement,discourages free movement,negative,201311_114.1856469_22.5908533.png,limits access
greenery,calming effect,promotes relaxation,positive,201311_114.1856469_22.5908533.png,seeking respite
buildings,sense of exploration,move about,positive,201311_114.186989_22.595263999999997.png,increased activity
roads,boundaries to movement,navigate the area,neutral,201311_114.186989_22.595263999999997.png,navigating urban spaces
sidewalks,sense of potential,explore the city,positive,201311_114.186989_22.595263999999997.png,urban exploration awareness
fences,restricted exploration,avoidance of exploration,negative,201311_114.1832046_22.5984266.png,discourage exploration
buildings,contained feeling,limited movement,negative,201311_114.1832046_22.5984266.png,diminished engagement
sidewalks,some accessibility,walking,neutral,201311_114.1832046_22.5984266.png,unrestricted movement
street,lack of openness,hesitation to explore,negative,201311_114.1832046_22.5984266.png,exploratory hesitation
road,limited exploration,restricted movement,negative,201311_114.176878_22.581670799999998.png,diminished engagement
vegetation,sense of enclosure,hesitant exploration,negative,201311_114.176878_22.581670799999998.png,limited mobility
cars,defined boundaries,cautious navigation,neutral,201311_114.176878_22.581670799999998.png,careful navigation
buildings,feelings of confinement,restricted movement,negative,201312_113.7839461_22.716497199999996.png,diminished engagement
streetscape,limited exploration,hesitation to explore,negative,201312_113.7839461_22.716497199999996.png,exploratory hesitation
tunnel,limited exploration,restricted movement,negative,201311_114.231161_22.596456399999994.png,diminished engagement
passage,defined boundaries,linear travel,neutral,201311_114.231161_22.596456399999994.png,walking along the sidewalk
road,constrained possibilities,limited navigation,negative,201311_114.231161_22.596456399999994.png,mild engagement with surroundings
highway,sense of vastness,feeling of exploration,positive,201311_114.1860739_22.6130437.png,exploring areas
hills,sense of scale,encouragement of movement,positive,201311_114.1860739_22.6130437.png,increased activity
sky,sense of openness,inspiration to travel,positive,201311_114.1860739_22.6130437.png,stimulates curiosity
road,impression of journey,desire to continue traveling,positive,201311_114.1860739_22.6130437.png,facilitates walking and cycling
space,feeling of freedom,encouragement to explore,positive,201311_114.1860739_22.6130437.png,promotes interaction
street,limited exploration,restricted movement,negative,201312_113.78218214006371_22.68964439788343.png,diminished engagement
buildings,constrained environment,minimal engagement,negative,201312_113.78218214006371_22.68964439788343.png,mild engagement with surroundings
traffic,stressful atmosphere,avoidance behavior,negative,201312_113.78218214006371_22.68964439788343.png,avoidance of venturing
road,sense of freedom,exploration,positive,201312_113.78476114628427_22.697658317071774.png,exploration
spaces,openness,movement,positive,201312_113.78476114628427_22.697658317071774.png,unrestricted movement
intersection,sense of exploration,encourages movement,positive,201312_113.8278184_22.7315766.png,promotes interaction
roadway,feeling of limitation,restricts exploration,negative,201312_113.8278184_22.7315766.png,reduction of movement
streets,openness to possibilities,invites further exploration,positive,201312_113.8278184_22.7315766.png,exploring areas
buildings,sense of enclosure,creates barriers to movement,negative,201312_113.8278184_22.7315766.png,restricted choices
street,sense of possibility,moving about,positive,201312_113.83443584337306_22.74126975401547.png,increased activity
buildings,sense of enclosure,limited exploration,negative,201312_113.83443584337306_22.74126975401547.png,limited exploration
urban fabric,restricted possibilities,limited movement,negative,201312_113.83443584337306_22.74126975401547.png,diminished engagement
overpass,sense of vastness,exploration,positive,201312_113.830443_22.644925700000005.png,exploration
buildings,urban impression,engagement with environment,positive,201312_113.830443_22.644925700000005.png,encourages movement
road,defined boundaries,navigation,neutral,201312_113.830443_22.644925700000005.png,navigating through spaces
view,openness,curiosity,positive,201312_113.830443_22.644925700000005.png,promotes interaction
street,sense of linear exploration,movement along its length,positive,201312_113.83572026600113_22.73146253989801.png,walking along the sidewalk
buildings,perceived boundaries,limited exploration,negative,201312_113.83572026600113_22.73146253989801.png,limited exploration
traffic,constrained movement,walking along the street,negative,201312_113.83572026600113_22.73146253989801.png,roam freely
street,limited visual scope,restricted exploration,negative,201312_113.8360353_22.761185699999995.png,reduction of movement
buildings,lack of expansiveness,reduced movement options,negative,201312_113.8360353_22.761185699999995.png,restricted movement
street,sense of visual breadth,hinting at possibilities for movement,positive,201312_113.8235017_22.698809100000002.png,encourages movement
lanes,potential for exploration,encourages exploration,positive,201312_113.8235017_22.698809100000002.png,promotes interaction
traffic,feeling of restriction,limits exploration,negative,201312_113.8235017_22.698809100000002.png,limit mobility
infrastructure,defined route,constrains movement,negative,201312_113.8235017_22.698809100000002.png,limits access
street,potential for exploration,encourages exploration,positive,201312_113.8409926803816_22.75012227013069.png,promotes interaction
road,limited movement,restricts exploration,negative,201312_113.8409926803816_22.75012227013069.png,reduction of movement
sidewalks,bounded environment,limits freedom of movement,negative,201312_113.8409926803816_22.75012227013069.png,restricted movement
cars,defined boundaries,creates barriers,negative,201312_113.8409926803816_22.75012227013069.png,restricted choices
buildings,sense of enclosure,induces caution,negative,201312_113.8409926803816_22.75012227013069.png,encourages careful navigation
buildings,limited exploration,restricted movement,negative,201312_113.8346455_22.695685499999996.png,diminished engagement
cars,constrained environment,avoidance of discovery,negative,201312_113.8346455_22.695685499999996.png,avoidance of pedestrian activities
road,lack of vastness,minimal engagement,negative,201312_113.8346455_22.695685499999996.png,mild engagement with surroundings
green,sense of openness,exploration,positive,201312_113.83914327807292_22.754952015391464.png,exploration
buildings,limitations to movement,restricted exploration,negative,201312_113.83914327807292_22.754952015391464.png,reduction of movement
vehicles,limitations to movement,restricted exploration,negative,201312_113.83914327807292_22.754952015391464.png,reduction of movement
street,potential for exploration,exploring the area,positive,201312_113.85651230262431_22.656305210826364.png,exploring areas
buildings,limited feeling of expansive freedom,hesitating to venture further,negative,201312_113.85651230262431_22.656305210826364.png,limited mobility
sidewalks,clear path,walking confidently,positive,201312_113.85651230262431_22.656305210826364.png,roam freely
roads,implied boundaries,staying within limits,negative,201312_113.85651230262431_22.656305210826364.png,navigating within boundaries
intersection,sense of expanse,movement and exploration,positive,201312_113.83718987956412_22.73739513103713.png,exploration of environment
buildings,sense of limitation,restricted movement,negative,201312_113.83718987956412_22.73739513103713.png,diminished engagement
