spatial_element,psychological_perception,behavioral_motivation,relation_type,image_id
crossings,sense of safety,cross the street,positive,201311_113.95997440000001_22.599463099999998.png
signals,orderly environment,obey traffic rules,positive,201311_113.95997440000001_22.599463099999998.png
signs,guidance,make informed decisions,positive,201311_113.95997440000001_22.599463099999998.png
elements,slight distortion,adjust perception,negative,201311_113.95997440000001_22.599463099999998.png
infrastructure,moderate integration,navigate urban space,neutral,201311_113.95997440000001_22.599463099999998.png
street,sense of order,easier navigation,positive,201311_113.9212475061574_22.624198398318953.png
buildings,recognizable layout,familiarity in environment,positive,201311_113.9212475061574_22.624198398318953.png
sidewalks,clear organization,encouragement to walk,positive,201311_113.9212475061574_22.624198398318953.png
vehicles,designated areas,reduced confusion,positive,201311_113.9212475061574_22.624198398318953.png
path,sense of order,navigate through space,positive,201311_113.955732_22.590690699999996.png
buildings,degree of organization,engage with environment,positive,201311_113.955732_22.590690699999996.png
trees,natural harmony,relax and enjoy,positive,201311_113.955732_22.590690699999996.png
debris,disruption of unity,avoid area,negative,201311_113.955732_22.590690699999996.png
vegetation,lack of maintenance,feel discomfort,negative,201311_113.955732_22.590690699999996.png
highway,sense of predictability,efficient logistical arrangement,neutral,201311_113.93390290000002_22.603255199999996.png
lanes,sense of predictability,efficient logistical arrangement,neutral,201311_113.93390290000002_22.603255199999996.png
barriers,sense of predictability,efficient logistical arrangement,neutral,201311_113.93390290000002_22.603255199999996.png
road markings,sense of predictability,efficient logistical arrangement,neutral,201311_113.93390290000002_22.603255199999996.png
road,sense of organization,navigating effectively,positive,201311_113.972093_22.603460099999996.png
landscaping,visual coherence,appreciating beauty,positive,201311_113.972093_22.603460099999996.png
trees,sense of order,relaxing in space,positive,201311_113.972093_22.603460099999996.png
hedges,sense of organization,feeling secure,positive,201311_113.972093_22.603460099999996.png
curve,slight disruption,adjusting focus,negative,201311_113.972093_22.603460099999996.png
road,structured and easy to comprehend,navigate effectively,positive,201311_113.97217166373336_22.598046834891043.png
sidewalks,organized and neat,walk comfortably,positive,201311_113.97217166373336_22.598046834891043.png
trees,orderly arrangement,enjoy the scenery,positive,201311_113.97217166373336_22.598046834891043.png
buildings,chaotic scene,feeling of disorientation,negative,201311_113.9785024_22.6241635.png
shops,lack of order,difficulty in navigation,negative,201311_113.9785024_22.6241635.png
traffic,overwhelmed senses,hesitation to engage,negative,201311_113.9785024_22.6241635.png
signs,visual clutter,distraction from surroundings,negative,201311_113.9785024_22.6241635.png
streets,recognizable order,easier navigation,positive,201311_113.9787376_22.589872099999997.png
buildings,moderate harmony,exploration,neutral,201311_113.9787376_22.589872099999997.png
sidewalks,clear organization,walking,positive,201311_113.9787376_22.589872099999997.png
storefronts,busy street life,shopping,neutral,201311_113.9787376_22.589872099999997.png
pathway,moderate coherence,navigate towards buildings,positive,201311_113.9824091_22.594394199999996.png
green spaces,visual discontinuity,hesitation in movement,negative,201311_113.9824091_22.594394199999996.png
buildings,modern appeal,attraction to urban development,positive,201311_113.9824091_22.594394199999996.png
construction,disruption of flow,avoidance of area,negative,201311_113.9824091_22.594394199999996.png
buildings,sense of coherence,understanding layout,positive,201311_113.9874162_22.598817899999997.png
trees,integration with nature,enhanced comfort,positive,201311_113.9874162_22.598817899999997.png
road,degree of order,navigating space,positive,201311_113.9874162_22.598817899999997.png
traffic signals,clarity in movement,following traffic rules,positive,201311_113.9874162_22.598817899999997.png
layout,strong feeling of coherence,easy to understand and navigate,positive,201311_113.9934289_22.598725899999998.png
network,sense of order,predictable movement,positive,201311_113.9934289_22.598725899999998.png
buildings,discernible architectural style,attraction to space,positive,201311_113.9934289_22.598725899999998.png
landscaping,organized arrangement,encouragement to explore,positive,201311_113.9934289_22.598725899999998.png
path,clear navigation,move through space,positive,201311_113.9956108_22.602901100000004.png
landscaped,organized environment,enjoy surroundings,positive,201311_113.9956108_22.602901100000004.png
buildings,disjointed feel,hesitate to engage,negative,201311_113.9956108_22.602901100000004.png
elements,lack of order,feel unsettled,negative,201311_113.9956108_22.602901100000004.png
buildings,reduced sense of harmony,less engagement with space,negative,201311_113.9849525_22.597865099999996.png
sidewalks,sense of order,navigation through space,positive,201311_113.9849525_22.597865099999996.png
street lamps,enhanced clarity,increased safety awareness,positive,201311_113.9849525_22.597865099999996.png
concrete,lack of aesthetic appeal,disengagement from environment,negative,201311_113.9849525_22.597865099999996.png
road,clear sense of order,easier navigation,positive,201311_113.97215286575438_22.599851368800312.png
sidewalks,organized visual layout,increased pedestrian comfort,positive,201311_113.97215286575438_22.599851368800312.png
trees,structured environment,encourages outdoor activities,positive,201311_113.97215286575438_22.599851368800312.png
wooded area,sense of enclosure,promotes relaxation,positive,201311_113.97215286575438_22.599851368800312.png
street,sense of order,navigate effectively,positive,201311_114.010794_22.5554258.png
buildings,planned design,engage with environment,positive,201311_114.010794_22.5554258.png
greenery,aesthetic appeal,relax and enjoy,positive,201311_114.010794_22.5554258.png
lanes,clarity,follow traffic rules,positive,201311_114.010794_22.5554258.png
traffic signs,guidance,make informed decisions,positive,201311_114.010794_22.5554258.png
crossings,safety,cross streets confidently,positive,201311_114.010794_22.5554258.png
buildings,moderate sense of order,navigating space,neutral,201311_114.00419846671053_22.673102084815238.png
roads,lack of intentional design,hesitation to engage,negative,201311_114.00419846671053_22.673102084815238.png
vehicles,general utilitarian appearance,minimal interaction,negative,201311_114.00419846671053_22.673102084815238.png
construction,lack of coherence,avoidance of area,negative,201311_114.00419846671053_22.673102084815238.png
road,somewhat organized layout,navigate effectively,positive,201311_113.9934635_22.605469299999996.png
fencing,indication of human intervention,feel secure,positive,201311_113.9934635_22.605469299999996.png
greenery,obscured sense of order,feel disoriented,negative,201311_113.9934635_22.605469299999996.png
buildings,distant presence,lack of engagement,negative,201311_113.9934635_22.605469299999996.png
vegetation,unkempt nature,avoid exploration,negative,201311_113.9934635_22.605469299999996.png
roads,sense of order,navigate efficiently,positive,201311_113.9978764_22.603342699999995.png
buildings,planned development,engage with space,positive,201311_113.9978764_22.603342699999995.png
landscaping,comprehensibility,appreciate surroundings,positive,201311_113.9978764_22.603342699999995.png
buildings,sense of order,navigating the area,positive,201311_114.0367137_22.625328199999995.png
sidewalks,safety and organization,walking comfortably,positive,201311_114.0367137_22.625328199999995.png
greenery,aesthetic appeal,enjoying the environment,positive,201311_114.0367137_22.625328199999995.png
garden,tranquility,relaxing outdoors,positive,201311_114.0367137_22.625328199999995.png
pathways,clarity,exploring the neighborhood,positive,201311_114.0367137_22.625328199999995.png
roads,sense of order,navigate effectively,positive,201311_114.108805_22.539949000000004.png
sidewalks,sense of safety,walk comfortably,positive,201311_114.108805_22.539949000000004.png
traffic signals,enhanced awareness,follow traffic rules,positive,201311_114.108805_22.539949000000004.png
buildings,structured environment,engage with surroundings,positive,201311_114.108805_22.539949000000004.png
buildings,reasonable level of coherence,easier navigation,positive,201311_114.1329892_22.5822593.png
street,somewhat easy to understand,increased comfort,positive,201311_114.1329892_22.5822593.png
walkways,clear organization,encouragement to walk,positive,201311_114.1329892_22.5822593.png
traffic lanes,discernible layout,smoother driving experience,positive,201311_114.1329892_22.5822593.png
streets,sense of organization,navigate effectively,positive,201311_114.07813510000001_22.5592236.png
trees,introduction of complexity,explore surroundings,neutral,201311_114.07813510000001_22.5592236.png
architecture,visual interest,engage with environment,positive,201311_114.07813510000001_22.5592236.png
shops,predictable patterns,shop or visit,positive,201311_114.07813510000001_22.5592236.png
traffic,structured chaos,move through space,neutral,201311_114.07813510000001_22.5592236.png
high-rises,chaotic visual experience,distraction,negative,201311_114.0918839_22.580004399999996.png
cliff,disorganized feeling,confusion,negative,201311_114.0918839_22.580004399999996.png
trucks,lack of order,avoidance,negative,201311_114.0918839_22.580004399999996.png
containers,disarray,disengagement,negative,201311_114.0918839_22.580004399999996.png
debris,cluttered environment,aversion,negative,201311_114.0918839_22.580004399999996.png
dumpster,unpleasantness,repulsion,negative,201311_114.0918839_22.580004399999996.png
road,clear path,navigate easily,positive,201311_114.1260936_22.5848949.png
landscape,lack of organization,hesitation in movement,negative,201311_114.1260936_22.5848949.png
structures,mixed integration,confusion in navigation,negative,201311_114.1260936_22.5848949.png
construction,disruption of flow,avoidance of area,negative,201311_114.1260936_22.5848949.png
intersection,sense of order,navigate effectively,positive,201311_114.0363794_22.549060799999996.png
signs,sense of order,follow traffic rules,positive,201311_114.0363794_22.549060799999996.png
infrastructure,sense of order,move confidently,positive,201311_114.0363794_22.549060799999996.png
site,visual disorder,avoid area,negative,201311_114.0363794_22.549060799999996.png
street,moderate coherence,navigate space,neutral,201311_114.1331646_22.6036264.png
activity,some organization,engage with surroundings,positive,201311_114.1331646_22.6036264.png
trucks,less organized feel,hesitate to explore,negative,201311_114.1331646_22.6036264.png
buildings,varied types,question predictability,negative,201311_114.1331646_22.6036264.png
road,generally understandable,navigate easily,positive,201311_114.13313586110559_22.60543104368196.png
greenery,natural environment,enjoy surroundings,positive,201311_114.13313586110559_22.60543104368196.png
pavement,lack of organization,avoid obstacles,negative,201311_114.13313586110559_22.60543104368196.png
puddles,slightly less coherent,be cautious,negative,201311_114.13313586110559_22.60543104368196.png
street,sense of visual clutter,avoidance of the area,negative,201311_114.1398083_22.565269999999995.png
traffic,sense of organization,compliance with regulations,positive,201311_114.1398083_22.565269999999995.png
landscape,complexity,exploration of surroundings,neutral,201311_114.1398083_22.565269999999995.png
trees,sense of order,feel organized,positive,201311_114.13318312310899_22.60182164061621.png
pathways,easy to comprehend,navigate effectively,positive,201311_114.13318312310899_22.60182164061621.png
markings,predictability in environment,follow rules,positive,201311_114.13318312310899_22.60182164061621.png
railings,sense of safety,move confidently,positive,201311_114.13318312310899_22.60182164061621.png
path,sense of order,navigate through space,positive,201311_114.1422458_22.573539200000006.png
railing,structured arrangement,feel secure,positive,201311_114.1422458_22.573539200000006.png
foliage,dense environment,explore surroundings,neutral,201311_114.1422458_22.573539200000006.png
roads,structured environment,navigating efficiently,positive,201311_114.158799_22.6090681.png
crossings,sense of safety,crossing streets confidently,positive,201311_114.158799_22.6090681.png
signals,orderliness,following traffic rules,positive,201311_114.158799_22.6090681.png
styles,disorder,feeling unsettled,negative,201311_114.158799_22.6090681.png
elements,inconsistency,hesitating to explore,negative,201311_114.158799_22.6090681.png
buildings,sense of order,navigating effectively,positive,201311_114.1664523_22.6055109.png
road,clear organization,following paths,positive,201311_114.1664523_22.6055109.png
fence,enhanced security,feeling safe,positive,201311_114.1664523_22.6055109.png
panorama,slight disruption,hesitation in movement,negative,201311_114.1664523_22.6055109.png
buildings,sense of order,navigating spaces,positive,201311_114.14111260000001_22.612017599999994.png
sidewalks,sense of belonging,engaging with environment,positive,201311_114.14111260000001_22.612017599999994.png
trees,natural comfort,relaxing,positive,201311_114.14111260000001_22.612017599999994.png
construction,disruption of order,hesitation to explore,negative,201311_114.14111260000001_22.612017599999994.png
buildings,clear organizational structure,navigating the area,positive,201311_114.1699075_22.572947699999997.png
landscaping,orderly visual experience,appreciating the aesthetics,positive,201311_114.1699075_22.572947699999997.png
hedges,integration of components,recognizing spatial organization,positive,201311_114.1699075_22.572947699999997.png
flower beds,pleasant environment,relaxing in the space,positive,201311_114.1699075_22.572947699999997.png
streets,sense of order,navigate effectively,positive,201311_114.1708255_22.6072058.png
buildings,recognizable structure,engage with environment,positive,201311_114.1708255_22.6072058.png
natural elements,lack of harmony,avoid areas,negative,201311_114.1708255_22.6072058.png
road,discernible order,navigate effectively,positive,201311_114.1753739_22.602115699999995.png
sidewalks,structured environment,promote walking,positive,201311_114.1753739_22.602115699999995.png
trees,natural integration,enhance relaxation,positive,201311_114.1753739_22.602115699999995.png
buildings,urban planning,create community spaces,positive,201311_114.1753739_22.602115699999995.png
pathways,moderate coherence,navigate effectively,positive,201311_114.1712754_22.5966659.png
greenery,informal arrangement,explore freely,neutral,201311_114.1712754_22.5966659.png
walls,less organized,avoid interaction,negative,201311_114.1712754_22.5966659.png
road,less structured environment,hesitate to traverse,negative,201311_114.1712754_22.5966659.png
highway,degree of organization,navigate effectively,positive,201311_114.1766153913743_22.62211635756483.png
hills,natural arrangement,enjoy scenery,positive,201311_114.1766153913743_22.62211635756483.png
power lines,detracts from harmony,avoid distraction,negative,201311_114.1766153913743_22.62211635756483.png
scale,overwhelming presence,feel discomfort,negative,201311_114.1766153913743_22.62211635756483.png
road,less organized,feel discomfort,negative,201311_114.1715729_22.579913799999993.png
guardrail,sense of safety,encourage use,positive,201311_114.1715729_22.579913799999993.png
nature,lack of order,hesitate to explore,negative,201311_114.1715729_22.579913799999993.png
infrastructure,confusion,avoidance of area,negative,201311_114.1715729_22.579913799999993.png
markings,guidance,navigate effectively,positive,201311_114.1715729_22.579913799999993.png
highway,strong sense of order,navigate confidently,positive,201311_114.16919617982792_22.62714279983004.png
landscape,natural coherence,appreciate nature,positive,201311_114.16919617982792_22.62714279983004.png
vegetation,discernible patterns,explore surroundings,positive,201311_114.16919617982792_22.62714279983004.png
greenery,structured integration,enjoy the view,positive,201311_114.16919617982792_22.62714279983004.png
road,sense of order,navigate effectively,positive,201311_114.1856469_22.5908533.png
buildings,functional environment,engage with surroundings,positive,201311_114.1856469_22.5908533.png
infrastructure,understandable layout,move confidently,positive,201311_114.1856469_22.5908533.png
landscape,logical progression,explore area,positive,201311_114.1856469_22.5908533.png
street,functional urban organization,understanding layout,positive,201311_114.186989_22.595263999999997.png
signage,sense of order,navigating spaces,positive,201311_114.186989_22.595263999999997.png
complexity,reduced coherence,hesitation in navigation,negative,201311_114.186989_22.595263999999997.png
buildings,disjointed arrangement,lack of engagement,negative,201311_114.1832046_22.5984266.png
vehicles,disrupted order,avoidance of space,negative,201311_114.1832046_22.5984266.png
bridge,lack of unity,reduced interaction,negative,201311_114.1832046_22.5984266.png
railings,some organization,navigation assistance,neutral,201311_114.1832046_22.5984266.png
markings,some clarity,following paths,neutral,201311_114.1832046_22.5984266.png
cars,sense of order,increased organization,positive,201311_114.176878_22.581670799999998.png
markings,sense of clarity,improved navigation,positive,201311_114.176878_22.581670799999998.png
trees,disrupted organization,potential confusion,negative,201311_114.176878_22.581670799999998.png
terrain,irregularity,hesitance in movement,negative,201311_114.176878_22.581670799999998.png
layout,somewhat organized,navigate spaces,positive,201312_113.7839461_22.716497199999996.png
barricades,diminished accessibility,avoid areas,negative,201312_113.7839461_22.716497199999996.png
sidewalks,limited order,hesitate to explore,negative,201312_113.7839461_22.716497199999996.png
tunnel,sense of order,easy navigation,positive,201311_114.231161_22.596456399999994.png
walls,sense of order,easy navigation,positive,201311_114.231161_22.596456399999994.png
lighting,sense of order,easy navigation,positive,201311_114.231161_22.596456399999994.png
markings,sense of clarity,organized movement,positive,201311_114.231161_22.596456399999994.png
traffic,sense of organization,smooth flow,positive,201311_114.231161_22.596456399999994.png
highway,sense of order,easy comprehension,positive,201311_114.1860739_22.6130437.png
landscape,background support,enhanced appreciation,positive,201311_114.1860739_22.6130437.png
sky,clarity,uplifted mood,positive,201311_114.1860739_22.6130437.png
guardrails,safety,increased confidence,positive,201311_114.1860739_22.6130437.png
structures,organization,navigational ease,positive,201311_114.1860739_22.6130437.png
street,sense of order,navigate easily,positive,201312_113.78218214006371_22.68964439788343.png
sidewalks,safety and accessibility,walk comfortably,positive,201312_113.78218214006371_22.68964439788343.png
buildings,familiarity,engage with surroundings,positive,201312_113.78218214006371_22.68964439788343.png
road markings,clarity,follow traffic rules,positive,201312_113.78218214006371_22.68964439788343.png
buildings,lack of coherence,difficulty in navigation,negative,201312_113.78476114628427_22.697658317071774.png
road,sense of emptiness,reduced social interaction,negative,201312_113.78476114628427_22.697658317071774.png
structures,confusion,disinterest in the area,negative,201312_113.78476114628427_22.697658317071774.png
intersection,clear organization,navigate easily,positive,201312_113.8278184_22.7315766.png
roadways,complex layout,caution while crossing,negative,201312_113.8278184_22.7315766.png
buildings,understandable layout,explore surroundings,positive,201312_113.8278184_22.7315766.png
traffic signals,implied safety,follow traffic rules,positive,201312_113.8278184_22.7315766.png
pedestrian pathways,busy environment,navigate carefully,negative,201312_113.8278184_22.7315766.png
buildings,degree of order,sense of organization,positive,201312_113.83443584337306_22.74126975401547.png
street,clarity,navigation ease,positive,201312_113.83443584337306_22.74126975401547.png
colors,disruption of organization,increased awareness,negative,201312_113.83443584337306_22.74126975401547.png
materials,slight disruption,critical evaluation,negative,201312_113.83443584337306_22.74126975401547.png
buildings,sense of order,easier navigation,positive,201312_113.830443_22.644925700000005.png
roads,planned environment,understanding organization,positive,201312_113.830443_22.644925700000005.png
intersection,scale and complexity,hesitation in navigation,negative,201312_113.830443_22.644925700000005.png
street,degree of coherence,exploration,positive,201312_113.83572026600113_22.73146253989801.png
buildings,sense of order,engagement,positive,201312_113.83572026600113_22.73146253989801.png
shops,community interaction,visiting,positive,201312_113.83572026600113_22.73146253989801.png
heights,slight disarray,hesitation,negative,201312_113.83572026600113_22.73146253989801.png
clutter,detracted order,avoidance,negative,201312_113.83572026600113_22.73146253989801.png
streetscape,modest development,passive observation,neutral,201312_113.8360353_22.761185699999995.png
buildings,functional layout,utilitarian use,neutral,201312_113.8360353_22.761185699999995.png
infrastructure,unrefined appearance,minimal engagement,negative,201312_113.8360353_22.761185699999995.png
street,sense of organization,navigate effectively,positive,201312_113.8235017_22.698809100000002.png
buildings,chaotic impression,hesitate to explore,negative,201312_113.8235017_22.698809100000002.png
traffic lights,orderliness,follow traffic rules,positive,201312_113.8235017_22.698809100000002.png
signage,confusion,seek clarification,negative,201312_113.8235017_22.698809100000002.png
sidewalks,functional arrangement,walk comfortably,positive,201312_113.8235017_22.698809100000002.png
buildings,sense of order,navigate effectively,positive,201312_113.8409926803816_22.75012227013069.png
shops,visual clutter,avoidance of space,negative,201312_113.8409926803816_22.75012227013069.png
vehicles,disorganization,hesitation to enter,negative,201312_113.8409926803816_22.75012227013069.png
utility poles,visual distraction,divert attention,negative,201312_113.8409926803816_22.75012227013069.png
signage,lack of clarity,confusion in navigation,negative,201312_113.8409926803816_22.75012227013069.png
street,sense of clutter,difficulty navigating,negative,201312_113.8346455_22.695685499999996.png
buildings,chaotic environment,distraction,negative,201312_113.8346455_22.695685499999996.png
vehicles,busy atmosphere,increased urgency,negative,201312_113.8346455_22.695685499999996.png
wires,disorderly appearance,overwhelm,negative,201312_113.8346455_22.695685499999996.png
road,sense of predictability,easier navigation,positive,201312_113.83914327807292_22.754952015391464.png
sidewalks,sense of predictability,easier navigation,positive,201312_113.83914327807292_22.754952015391464.png
trees,sense of predictability,easier navigation,positive,201312_113.83914327807292_22.754952015391464.png
buildings,easy to comprehend,comfort in environment,positive,201312_113.83914327807292_22.754952015391464.png
vehicles,sense of orderliness,predictable movement,positive,201312_113.83914327807292_22.754952015391464.png
roads,sense of order,easy navigation,positive,201312_113.85651230262431_22.656305210826364.png
sidewalks,sense of order,easy navigation,positive,201312_113.85651230262431_22.656305210826364.png
buildings,sense of order,easy navigation,positive,201312_113.85651230262431_22.656305210826364.png
signs,sense of clarity,informed decision-making,positive,201312_113.85651230262431_22.656305210826364.png
styles,sense of coherence,enhanced understanding,positive,201312_113.85651230262431_22.656305210826364.png
buildings,sense of organization,navigate efficiently,positive,201312_113.83718987956412_22.73739513103713.png
traffic,overwhelming complexity,hesitate to cross,negative,201312_113.83718987956412_22.73739513103713.png
sidewalks,clear pathways,walk confidently,positive,201312_113.83718987956412_22.73739513103713.png
roads,functional purpose,drive smoothly,positive,201312_113.83718987956412_22.73739513103713.png
road,somewhat organized,navigate effectively,positive,201312_113.8374755_22.647390599999994.png
sidewalks,somewhat organized,navigate effectively,positive,201312_113.8374755_22.647390599999994.png
trees,slight sense of disorganization,hesitate to explore,negative,201312_113.8374755_22.647390599999994.png
building,partially obscured,difficulty in orientation,negative,201312_113.8374755_22.647390599999994.png
layout,understandable but not perfectly ordered,navigate with caution,neutral,201312_113.8374755_22.647390599999994.png
road,organized environment,navigate effectively,positive,201312_113.8530002_22.568199100000005.png
buildings,functional layout,utilize space,positive,201312_113.8530002_22.568199100000005.png
greenery,planned development,enjoy nature,neutral,201312_113.8530002_22.568199100000005.png
spaces,moderate coherence,reflect on design,neutral,201312_113.8530002_22.568199100000005.png
roads,sense of order,navigate effectively,positive,201312_113.85777283738314_22.642709229323334.png
buildings,organized design,explore surroundings,positive,201312_113.85777283738314_22.642709229323334.png
landscaping,enhanced coherence,enjoy nature,positive,201312_113.85777283738314_22.642709229323334.png
fences,defined boundaries,feel secure,positive,201312_113.85777283738314_22.642709229323334.png
pathways,clear navigation,move confidently,positive,201312_113.85777283738314_22.642709229323334.png
junction,slight ambiguity,hesitate in direction,negative,201312_113.85777283738314_22.642709229323334.png
scene,sprawling nature,feel disoriented,negative,201312_113.85777283738314_22.642709229323334.png
street,low coherence,avoidance of space,negative,201312_113.8578372_22.5682381.png
parking,disorder,frustration,negative,201312_113.8578372_22.5682381.png
structures,confusion,disengagement,negative,201312_113.8578372_22.5682381.png
construction,chaos,avoidance,negative,201312_113.8578372_22.5682381.png
debris,neglect,discomfort,negative,201312_113.8578372_22.5682381.png
buildings,moderate coherence,exploration,neutral,201312_113.8574523_22.571860800000003.png
