image_path,status,score,reason
.\image\201603_120.2682363_31.4903494.png,error,0.0,"Error code: 422 - {'error': {'message': ""body.messages.0.user.content.str: Input should be a valid string\nbody.messages.0.user.content.list[TextContent].1.type: Input should be 'text'\nbody.messages.0.user.content.list[TextContent].1.text: Field required (request id: 2025080517075413367960hQnYi1tB) (request id: 20250805170750162595172ggkh1Ypi)"", 'type': 'openai_error', 'param': '', 'code': '<nil>'}}"
.\image\201603_120.2677571_31.48642013.png,error,0.0,"Error code: 422 - {'error': {'message': ""body.messages.0.user.content.str: Input should be a valid string\nbody.messages.0.user.content.list[TextContent].1.type: Input should be 'text'\nbody.messages.0.user.content.list[TextContent].1.text: Field required (request id: 20250805170754335434186jwuchBXa) (request id: 20250805170750447489970vO95udcH)"", 'type': 'openai_error', 'param': '', 'code': '<nil>'}}"
.\image\201603_120.2678567_31.49244003.png,error,0.0,"Error code: 422 - {'error': {'message': ""body.messages.0.user.content.str: Input should be a valid string\nbody.messages.0.user.content.list[TextContent].1.type: Input should be 'text'\nbody.messages.0.user.content.list[TextContent].1.text: Field required (request id: 20250805170754277618321rp13tnZi) (request id: 20250805170750285817275BkwxB2qj)"", 'type': 'openai_error', 'param': '', 'code': '<nil>'}}"
.\image\201603_120.2653326_31.48765038.png,error,0.0,"Error code: 422 - {'error': {'message': ""body.messages.0.user.content.str: Input should be a valid string\nbody.messages.0.user.content.list[TextContent].1.type: Input should be 'text'\nbody.messages.0.user.content.list[TextContent].1.text: Field required (request id: 20250805170755257003707EXHMuBU8) (request id: 20250805170750697294506EfTiKRvE)"", 'type': 'openai_error', 'param': '', 'code': '<nil>'}}"
.\image\201603_120.2652633_31.48886.png,error,0.0,"Error code: 422 - {'error': {'message': ""body.messages.0.user.content.str: Input should be a valid string\nbody.messages.0.user.content.list[TextContent].1.type: Input should be 'text'\nbody.messages.0.user.content.list[TextContent].1.text: Field required (request id: 20250805170759269258729hL298kIN) (request id: 20250805170755245338535B7JikNrJ)"", 'type': 'openai_error', 'param': '', 'code': '<nil>'}}"
.\image\201603_120.2700173_31.48124432.png,error,0.0,"Error code: 422 - {'error': {'message': ""body.messages.0.user.content.str: Input should be a valid string\nbody.messages.0.user.content.list[TextContent].1.type: Input should be 'text'\nbody.messages.0.user.content.list[TextContent].1.text: Field required (request id: 20250805170759760186350n3b6RIWl) (request id: 20250805170755638596921001GlgDA)"", 'type': 'openai_error', 'param': '', 'code': '<nil>'}}"
.\image\201603_120.2661959_31.48506519.png,error,0.0,"Error code: 422 - {'error': {'message': ""body.messages.0.user.content.str: Input should be a valid string\nbody.messages.0.user.content.list[TextContent].1.type: Input should be 'text'\nbody.messages.0.user.content.list[TextContent].1.text: Field required (request id: 20250805170759955179299IhLdpidQ) (request id: 20250805170755488609037lAJ1zzGq)"", 'type': 'openai_error', 'param': '', 'code': '<nil>'}}"
.\image\201603_120.2626988_31.48932304.png,error,0.0,"Error code: 422 - {'error': {'message': ""body.messages.0.user.content.str: Input should be a valid string\nbody.messages.0.user.content.list[TextContent].1.type: Input should be 'text'\nbody.messages.0.user.content.list[TextContent].1.text: Field required (request id: 20250805170800437829897aMqo3Ytm) (request id: 202508051707564643556702zKn28nA)"", 'type': 'openai_error', 'param': '', 'code': '<nil>'}}"
.\image\201708_120.2701366_31.4791631.png,error,0.0,"Error code: 422 - {'error': {'message': ""body.messages.0.user.content.str: Input should be a valid string\nbody.messages.0.user.content.list[TextContent].1.type: Input should be 'text'\nbody.messages.0.user.content.list[TextContent].1.text: Field required (request id: 20250805170804690879303pDg8sYP6) (request id: 20250805170800644732483MJNFjU7f)"", 'type': 'openai_error', 'param': '', 'code': '<nil>'}}"
.\image\201708_120.2705476_31.49037947.png,error,0.0,"Error code: 422 - {'error': {'message': ""body.messages.0.user.content.str: Input should be a valid string\nbody.messages.0.user.content.list[TextContent].1.type: Input should be 'text'\nbody.messages.0.user.content.list[TextContent].1.text: Field required (request id: 20250805170804768228130SDLnnJFR) (request id: 20250805170800740472978sbNwPOPm)"", 'type': 'openai_error', 'param': '', 'code': '<nil>'}}"
.\image\201708_120.2652633_31.48886.png,error,0.0,"Error code: 422 - {'error': {'message': ""body.messages.0.user.content.str: Input should be a valid string\nbody.messages.0.user.content.list[TextContent].1.type: Input should be 'text'\nbody.messages.0.user.content.list[TextContent].1.text: Field required (request id: 20250805170805759810477sJwkGBkw) (request id: 20250805170801205329421v53ywpMl)"", 'type': 'openai_error', 'param': '', 'code': '<nil>'}}"
.\image\201708_120.270227_31.48739147.png,error,0.0,"Error code: 422 - {'error': {'message': ""body.messages.0.user.content.str: Input should be a valid string\nbody.messages.0.user.content.list[TextContent].1.type: Input should be 'text'\nbody.messages.0.user.content.list[TextContent].1.text: Field required (request id: 20250805170805829769683mEEsFSh7) (request id: 20250805170801606948949rBAS2XzU)"", 'type': 'openai_error', 'param': '', 'code': '<nil>'}}"
.\image\201708_120.2639115_31.48466944.png,error,0.0,"Error code: 422 - {'error': {'message': ""body.messages.0.user.content.str: Input should be a valid string\nbody.messages.0.user.content.list[TextContent].1.type: Input should be 'text'\nbody.messages.0.user.content.list[TextContent].1.text: Field required (request id: 20250805170809843794872lZFF3srE) (request id: 20250805170805837286820azEOfK0k)"", 'type': 'openai_error', 'param': '', 'code': '<nil>'}}"
.\image\201708_120.2716715_31.48866626.png,error,0.0,"Error code: 422 - {'error': {'message': ""body.messages.0.user.content.str: Input should be a valid string\nbody.messages.0.user.content.list[TextContent].1.type: Input should be 'text'\nbody.messages.0.user.content.list[TextContent].1.text: Field required (request id: 20250805170810312432759dchKGrqt) (request id: 20250805170805939478422o0GkBp7i)"", 'type': 'openai_error', 'param': '', 'code': '<nil>'}}"
.\image\201708_120.2703794_31.47882788.png,error,0.0,"Error code: 422 - {'error': {'message': ""body.messages.0.user.content.str: Input should be a valid string\nbody.messages.0.user.content.list[TextContent].1.type: Input should be 'text'\nbody.messages.0.user.content.list[TextContent].1.text: Field required (request id: 2025080517081113600935IxmFVY4L) (request id: 2025080517080710108530U12WmDAq)"", 'type': 'openai_error', 'param': '', 'code': '<nil>'}}"
.\image\201708_120.2655459_31.48257222.png,error,0.0,"Error code: 422 - {'error': {'message': ""body.messages.0.user.content.str: Input should be a valid string\nbody.messages.0.user.content.list[TextContent].1.type: Input should be 'text'\nbody.messages.0.user.content.list[TextContent].1.text: Field required (request id: 20250805170811263654768hRys0o5x) (request id: 2025080517080799591992bX1kSRVx)"", 'type': 'openai_error', 'param': '', 'code': '<nil>'}}"
.\image\201708_120.269072_31.4873229.png,error,0.0,"Error code: 422 - {'error': {'message': ""body.messages.0.user.content.str: Input should be a valid string\nbody.messages.0.user.content.list[TextContent].1.type: Input should be 'text'\nbody.messages.0.user.content.list[TextContent].1.text: Field required (request id: 2025080517081583683550EvSu91P6) (request id: 202508051708108093969825wiBRcb3)"", 'type': 'openai_error', 'param': '', 'code': '<nil>'}}"
.\image\201708_120.2686675_31.48123098.png,error,0.0,"Error code: 422 - {'error': {'message': ""body.messages.0.user.content.str: Input should be a valid string\nbody.messages.0.user.content.list[TextContent].1.type: Input should be 'text'\nbody.messages.0.user.content.list[TextContent].1.text: Field required (request id: 20250805170815362592505QfTOB8vU) (request id: 20250805170811570664975lSQYZ6oT)"", 'type': 'openai_error', 'param': '', 'code': '<nil>'}}"
.\image\201708_120.2714563_31.48988277.png,error,0.0,"Error code: 422 - {'error': {'message': ""body.messages.0.user.content.str: Input should be a valid string\nbody.messages.0.user.content.list[TextContent].1.type: Input should be 'text'\nbody.messages.0.user.content.list[TextContent].1.text: Field required (request id: 20250805170816258670789hu7qbCPn) (request id: 20250805170811986268980AF82Cmk0)"", 'type': 'openai_error', 'param': '', 'code': '<nil>'}}"
.\image\201708_120.2657172_31.49242444.png,error,0.0,"Error code: 422 - {'error': {'message': ""body.messages.0.user.content.str: Input should be a valid string\nbody.messages.0.user.content.list[TextContent].1.type: Input should be 'text'\nbody.messages.0.user.content.list[TextContent].1.text: Field required (request id: 20250805170816859883871tNUz2lKQ) (request id: 20250805170812574967669sWQ6QbqQ)"", 'type': 'openai_error', 'param': '', 'code': '<nil>'}}"
.\image\201708_120.2679023_31.48907504.png,error,0.0,"Error code: 422 - {'error': {'message': ""body.messages.0.user.content.str: Input should be a valid string\nbody.messages.0.user.content.list[TextContent].1.type: Input should be 'text'\nbody.messages.0.user.content.list[TextContent].1.text: Field required (request id: 20250805170819846608529eG0tlzHs) (request id: 20250805170816260167778eCYRh1RM)"", 'type': 'openai_error', 'param': '', 'code': '<nil>'}}"
.\image\201708_120.2674601_31.47987446.png,error,0.0,"Error code: 422 - {'error': {'message': ""body.messages.0.user.content.str: Input should be a valid string\nbody.messages.0.user.content.list[TextContent].1.type: Input should be 'text'\nbody.messages.0.user.content.list[TextContent].1.text: Field required (request id: 202508051708199516490841VWnIZpJ) (request id: 202508051708163712163636EzHhGNy)"", 'type': 'openai_error', 'param': '', 'code': '<nil>'}}"
.\image\201708_120.2673054_31.48929842.png,error,0.0,"Error code: 422 - {'error': {'message': ""body.messages.0.user.content.str: Input should be a valid string\nbody.messages.0.user.content.list[TextContent].1.type: Input should be 'text'\nbody.messages.0.user.content.list[TextContent].1.text: Field required (request id: 20250805170821874761795anmLeykp) (request id: 20250805170817486750901D69nGBOt)"", 'type': 'openai_error', 'param': '', 'code': '<nil>'}}"
.\image\201708_120.2650302_31.4793267.png,error,0.0,"Error code: 422 - {'error': {'message': ""body.messages.0.user.content.str: Input should be a valid string\nbody.messages.0.user.content.list[TextContent].1.type: Input should be 'text'\nbody.messages.0.user.content.list[TextContent].1.text: Field required (request id: 202508051708228299398JcsQop8c) (request id: 20250805170818103296280MEwrXzGt)"", 'type': 'openai_error', 'param': '', 'code': '<nil>'}}"
.\image\201708_120.2648732_31.47693654.png,error,0.0,"Error code: 422 - {'error': {'message': ""body.messages.0.user.content.str: Input should be a valid string\nbody.messages.0.user.content.list[TextContent].1.type: Input should be 'text'\nbody.messages.0.user.content.list[TextContent].1.text: Field required (request id: 20250805170824897290783o8tVZYTw) (request id: 20250805170821233749003v4DwKmsC)"", 'type': 'openai_error', 'param': '', 'code': '<nil>'}}"
.\image\201708_120.2659111_31.4924366.png,error,0.0,"Error code: 422 - {'error': {'message': ""body.messages.0.user.content.str: Input should be a valid string\nbody.messages.0.user.content.list[TextContent].1.type: Input should be 'text'\nbody.messages.0.user.content.list[TextContent].1.text: Field required (request id: 20250805170825529490268cKCjhBtm) (request id: 202508051708212073878542Sg0D5cJ)"", 'type': 'openai_error', 'param': '', 'code': '<nil>'}}"
.\image\201708_120.269_31.48402645.png,error,0.0,"Error code: 422 - {'error': {'message': ""body.messages.0.user.content.str: Input should be a valid string\nbody.messages.0.user.content.list[TextContent].1.type: Input should be 'text'\nbody.messages.0.user.content.list[TextContent].1.text: Field required (request id: 20250805170826831091834lGvO9UVw) (request id: 20250805170823159848339EjdPnAWx)"", 'type': 'openai_error', 'param': '', 'code': '<nil>'}}"
.\image\201708_120.2622856_31.4894839.png,error,0.0,"Error code: 422 - {'error': {'message': ""body.messages.0.user.content.str: Input should be a valid string\nbody.messages.0.user.content.list[TextContent].1.type: Input should be 'text'\nbody.messages.0.user.content.list[TextContent].1.text: Field required (request id: 20250805170826936792609FRQZgUqW) (request id: 20250805170823323266602qqxqehF)"", 'type': 'openai_error', 'param': '', 'code': '<nil>'}}"
