spatial_element,psychological_perception,behavioral_motivation,relation_type,image_id,behavioral_motivation_standardized
surroundings,potential refuge,seek tranquility,positive,201311_114.1766153913743_22.62211635756483.png,seeking serenity
nature,mental escape,break from responsibilities,positive,201311_114.1715729_22.579913799999993.png,mental break
environment,serene environment,facilitates relaxation,positive,201311_114.1715729_22.579913799999993.png,relaxation from city life
road,sense of being away,mental escape,positive,201311_114.16919617982792_22.62714279983004.png,seeking serenity
sky,mental escape,partial escape,positive,201311_114.16919617982792_22.62714279983004.png,slight break from demands
traffic,not a complete refuge,awareness of external stimuli,negative,201311_114.16919617982792_22.62714279983004.png,heightened sensitivity to stress
greenery,sense of escape,mentally disengage,positive,201311_114.1856469_22.5908533.png,disengaging from routines
hillsides,respite,escape daily demands,positive,201311_114.1856469_22.5908533.png,escape from daily demands
sky,departure from nuisances,relaxation,positive,201311_114.1856469_22.5908533.png,seeking serenity
traffic,sparse environment,enjoy open space,positive,201311_114.1856469_22.5908533.png,seek tranquility
road,open feeling,explore,positive,201311_114.1856469_22.5908533.png,functional space usage
street,lack of escape,avoidance of usual concerns,negative,201311_114.186989_22.595263999999997.png,removal from distractions
infrastructure,sense of confinement,increased stress,negative,201311_114.186989_22.595263999999997.png,continued stress
greenery,sense of being away,mental escape,positive,201311_114.1832046_22.5984266.png,seeking serenity
sunlight,calm atmosphere,temporary refuge,positive,201311_114.1832046_22.5984266.png,absence of relief from responsibilities
traffic,not completely isolated,interaction with environment,neutral,201311_114.1832046_22.5984266.png,engage with immediate surroundings
trees,tranquil atmosphere,temporary reprieve,positive,201311_114.176878_22.581670799999998.png,respite from city life
shade,removed atmosphere,escape from demands,positive,201311_114.176878_22.581670799999998.png,escape from daily demands
bus,tranquil atmosphere,temporary reprieve,positive,201311_114.176878_22.581670799999998.png,respite from city life
barriers,lack of refuge,avoidance of stress,negative,201312_113.7839461_22.716497199999996.png,avoidance of bothersome elements
environment,functional feeling,continuation of responsibilities,negative,201312_113.7839461_22.716497199999996.png,ongoing engagement with daily life
tunnel,not a refuge,focus on transit,negative,201311_114.231161_22.596456399999994.png,engagement in logistics
infrastructure,functional space,not a retreat,negative,201311_114.231161_22.596456399999994.png,seek escape
highway,not a true refuge,transit,negative,201311_114.1860739_22.6130437.png,transit
hills,visual break,temporary escape,positive,201311_114.1860739_22.6130437.png,momentary detachment from thoughts
greenery,visual break,temporary escape,positive,201311_114.1860739_22.6130437.png,momentary detachment from thoughts
vehicles,constant flow,travel,negative,201311_114.1860739_22.6130437.png,engage in routine activities
infrastructure,reminder of daily routines,lack of escape,negative,201312_113.78218214006371_22.68964439788343.png,no refuge seeking
roads,sense of urban nuisances,avoidance of respite,negative,201312_113.78218214006371_22.68964439788343.png,absence of relief from responsibilities
buildings,demands of tasks,stress response,negative,201312_113.78218214006371_22.68964439788343.png,increased anxiety
infrastructure,lack of refuge,avoidance of space,negative,201312_113.78476114628427_22.697658317071774.png,no escape
construction,disruption of peace,withdrawal from area,negative,201312_113.78476114628427_22.697658317071774.png,withdrawal from environment
street,deserted feeling,hesitation to engage,negative,201312_113.78476114628427_22.697658317071774.png,feeling constrained
areas,lack of escape,disinterest in exploring,negative,201312_113.78476114628427_22.697658317071774.png,functional space usage
street,lack of refuge,engagement with environment,negative,201312_113.8278184_22.7315766.png,engage with immediate surroundings
traffic,stressful atmosphere,avoidance of the area,negative,201312_113.8278184_22.7315766.png,seek refuge from urban demands
shops,commercial engagement,shopping or socializing,neutral,201312_113.8278184_22.7315766.png,active urban engagement
pedestrians,busy environment,movement through space,neutral,201312_113.8278184_22.7315766.png,transit and movement
street,difficult to feel detached,remain engaged with daily life,negative,201312_113.83443584337306_22.74126975401547.png,ongoing engagement with daily life
buildings,no significant escape,continue routine activities,negative,201312_113.83443584337306_22.74126975401547.png,continuation of daily obligations
traffic,connection to routine world,stay within daily concerns,negative,201312_113.83443584337306_22.74126975401547.png,absence of a clear sanctuary
signs,not a refuge,avoid relaxation,negative,201312_113.83443584337306_22.74126975401547.png,inability to relax
traffic,potential stress,difficulty detaching,negative,201312_113.830443_22.644925700000005.png,difficulty in detaching thoughts
roads,not a refuge,navigating urban traffic,negative,201312_113.830443_22.644925700000005.png,increased activity
infrastructure,urban ambiance,increased activity,negative,201312_113.830443_22.644925700000005.png,exploring
streetscape,lack of escape,avoidance of daily concerns,negative,201312_113.83572026600113_22.73146253989801.png,avoid thinking
shops,overstimulation,increased activity,negative,201312_113.83572026600113_22.73146253989801.png,exploring
traffic,stress,distraction from relaxation,negative,201312_113.83572026600113_22.73146253989801.png,limited opportunities for relaxation
urban atmosphere,mental demands,inability to relax,negative,201312_113.83572026600113_22.73146253989801.png,difficulty detaching
store,not a true refuge,lack of escape,negative,201312_113.8360353_22.761185699999995.png,no refuge seeking
cars,active urban environment,engagement with surroundings,neutral,201312_113.8360353_22.761185699999995.png,interacting with surroundings
poles,lack of tranquility,increased awareness of tasks,negative,201312_113.8360353_22.761185699999995.png,maintain attention on tasks
wires,disruption of peace,focus on daily nuisances,negative,201312_113.8360353_22.761185699999995.png,heightened sensitivity to stress
street,lack of tranquility,inability to escape,negative,201312_113.8235017_22.698809100000002.png,seek escape
traffic,engagement with pressures,increased stress,negative,201312_113.8235017_22.698809100000002.png,continued stress
shops,overstimulation,distraction from relaxation,negative,201312_113.8235017_22.698809100000002.png,limited opportunities for relaxation
signage,visual clutter,decreased focus,negative,201312_113.8235017_22.698809100000002.png,inability to detach from responsibilities
pedestrians,crowdedness,avoidance of space,negative,201312_113.8235017_22.698809100000002.png,no escape
street,not a refuge,continue daily activities,negative,201312_113.8409926803816_22.75012227013069.png,engagement in daily activities
cars,busy environment,engage in tasks,negative,201312_113.8409926803816_22.75012227013069.png,engage in tasks
pedestrians,crowded feeling,move quickly,negative,201312_113.8409926803816_22.75012227013069.png,transit activity
commercial,demanding atmosphere,participate in commerce,negative,201312_113.8409926803816_22.75012227013069.png,increased social interaction
street,lack of escape,avoidance of refuge,negative,201312_113.8346455_22.695685499999996.png,avoidance of refuge
traffic,overwhelmed by activity,increased stress,negative,201312_113.8346455_22.695685499999996.png,continued stress
buildings,urban confinement,limited relaxation,negative,201312_113.8346455_22.695685499999996.png,diminished calm
greenery,sense of escape,mental break,positive,201312_113.83914327807292_22.754952015391464.png,momentary escape
trees,feeling of removal,stress relief,positive,201312_113.83914327807292_22.754952015391464.png,respite
sky,sunny disposition,enhanced mood,positive,201312_113.83914327807292_22.754952015391464.png,ongoing engagement with daily life
streetscape,limited sense of being away,not escaping thoughts,negative,201312_113.85651230262431_22.656305210826364.png,persistent thoughts of tasks
traffic,stressful environment,increased anxiety,negative,201312_113.85651230262431_22.656305210826364.png,awareness of stress
construction,disruption of peace,avoidance of area,negative,201312_113.85651230262431_22.656305210826364.png,unwillingness to engage in daily life
traffic,lack of escape,routine obligations,negative,201312_113.83718987956412_22.73739513103713.png,continuation of routine
buildings,mental detachment hindered,daily stressors,negative,201312_113.83718987956412_22.73739513103713.png,reflection on everyday responsibilities
infrastructure,sense of obligation,engagement in city activities,negative,201312_113.83718987956412_22.73739513103713.png,engagement in city life
sky,open space,limited mental relief,neutral,201312_113.83718987956412_22.73739513103713.png,no mental escape
greenery,peaceful atmosphere,escape from daily demands,positive,201312_113.8374755_22.647390599999994.png,escape from daily stresses
intersection,sense of separation,distract from immediate concerns,positive,201312_113.8374755_22.647390599999994.png,focus on practical concerns
nature,feeling of being away,contribute to relaxation,positive,201312_113.8374755_22.647390599999994.png,slight respite
greenery,moderate sense of being away,partial escape from urban nuisability,positive,201312_113.8530002_22.568199100000005.png,respite from urban nuisances
playground,degree of respite,encourages relaxation,positive,201312_113.8530002_22.568199100000005.png,relaxation
buildings,not entirely removed from daily life,reminds of urban demands,negative,201312_113.8530002_22.568199100000005.png,adherence to norms
infrastructure,suggests urban presence,limits complete detachment,negative,201312_113.8530002_22.568199100000005.png,remain engaged with demands
greenery,sense of being away,momentary escape,positive,201312_113.85777283738314_22.642709229323334.png,seek peace
trees,separation from daily life,escape nuisances,positive,201312_113.85777283738314_22.642709229323334.png,seek quieter environments
mountains,feeling of detachment,temporary retreat,positive,201312_113.85777283738314_22.642709229323334.png,momentary escape
roads,not complete wilderness,awareness of surroundings,negative,201312_113.85777283738314_22.642709229323334.png,navigating the environment
infrastructure,tempered detachment,acknowledgment of daily concerns,negative,201312_113.85777283738314_22.642709229323334.png,stress
trees,moderate sense of being away,brief mental departure,positive,201312_113.8578372_22.5682381.png,mental break from tasks
greenery,slight refuge,escape from urban demands,positive,201312_113.8578372_22.5682381.png,mental retreat
slope,visual separation,reduce daily concerns,positive,201312_113.8578372_22.5682381.png,engagement in daily activities
cars,inhabited area,engagement with daily life,neutral,201312_113.8574523_22.571860800000003.png,persist with regular activities
buildings,functional space,continuation of routine,neutral,201312_113.8574523_22.571860800000003.png,ongoing engagement with daily life
power lines,urban presence,acceptance of environment,negative,201312_113.8574523_22.571860800000003.png,adherence to norms
quiet,sense of calm,temporary respite,positive,201312_113.8574523_22.571860800000003.png,minimal encouragement to relax
roads,not conducive to being away,increased distractions,negative,201312_113.85980904184744_22.648029621847705.png,diminished calm
vehicles,not a refuge,escape from responsibilities,negative,201312_113.85980904184744_22.648029621847705.png,difficulty to stop thinking
buildings,filled with demands,lack of relaxation,negative,201312_113.85980904184744_22.648029621847705.png,seeking refuge elsewhere
road,lack of refuge,seeking escape,negative,201312_113.876258209507_22.67064777876147.png,difficulty in escaping
