spatial_element,psychological_perception,behavioral_motivation,relation_type,image_id,behavioral_motivation_standardized
buildings,limited fascination,disengagement,negative,201311_114.0363794_22.549060799999996.png,disengagement
traffic,urban activity,social interaction,positive,201311_114.0363794_22.549060799999996.png,social interaction
areas,visual stimuli,engagement,positive,201311_114.0363794_22.549060799999996.png,engagement
sunlight,moderate fascination,exploration,positive,201311_114.1331646_22.6036264.png,exploration
shops,visual interest,engagement,positive,201311_114.1331646_22.6036264.png,engagement
building,not captivating,disinterest,negative,201311_114.1331646_22.6036264.png,disinterest
streetscape,lack of novelty,avoidance,negative,201311_114.1331646_22.6036264.png,avoidance
trees,moderate visual interest,passive observation,neutral,201311_114.13313586110559_22.60543104368196.png,passive observation
shadows,lack of engagement,distraction,negative,201311_114.13313586110559_22.60543104368196.png,distraction
bicycles,touch of life,brief interaction,positive,201311_114.13313586110559_22.60543104368196.png,temporary engagement
vehicles,distant presence,background awareness,neutral,201311_114.13313586110559_22.60543104368196.png,minimal exploration
traffic,lack of intrigue,difficulty in capturing attention,negative,201311_114.1398083_22.565269999999995.png,fail to draw attention
buildings,boredom,disinterest in surroundings,negative,201311_114.1398083_22.565269999999995.png,disinterest in surroundings
construction,monotony,reduced exploration,negative,201311_114.1398083_22.565269999999995.png,reduced exploration
vehicles,predictability,lack of engagement,negative,201311_114.1398083_22.565269999999995.png,lack of engagement
designs,repetitiveness,failure to attract attention,negative,201311_114.1398083_22.565269999999995.png,diminished focus
trees,engaging visual texture,hold attention,positive,201311_114.13318312310899_22.60182164061621.png,relaxed attention
design,moderate level of fascination,prevent boredom,positive,201311_114.13318312310899_22.60182164061621.png,prevent boredom
foliage,visual interest,engagement with nature,positive,201311_114.1422458_22.573539200000006.png,exploration of nature
path,curiosity,exploration,positive,201311_114.1422458_22.573539200000006.png,exploration
railing,intrigue,investigation,positive,201311_114.1422458_22.573539200000006.png,exploration
person,solitude,reflection,neutral,201311_114.1422458_22.573539200000006.png,observation
billboards,sense of visual interest,engagement with surroundings,positive,201311_114.158799_22.6090681.png,engagement with surroundings
trees,calming effect,seeking relaxation,positive,201311_114.158799_22.6090681.png,provide relaxation
traffic,dynamic environment,exploration of area,positive,201311_114.158799_22.6090681.png,exploration of environment
hills,sense of openness,appreciation of nature,positive,201311_114.158799_22.6090681.png,admiration
trees,draws attention,engagement with nature,positive,201311_114.1664523_22.6055109.png,exploration of nature
water,creates interest,exploration,positive,201311_114.1664523_22.6055109.png,exploration
hills,visual appeal,admiration,positive,201311_114.1664523_22.6055109.png,appreciation for aesthetics
infrastructure,lack of fascination,disengagement,negative,201311_114.1664523_22.6055109.png,disengagement
fence,restrictive feeling,avoidance,negative,201311_114.1664523_22.6055109.png,avoidance
sunlight,visual interest,exploration,positive,201311_114.14111260000001_22.612017599999994.png,exploration
trees,calmness,relaxation,positive,201311_114.14111260000001_22.612017599999994.png,relaxation
walls,aesthetic appeal,engagement,positive,201311_114.14111260000001_22.612017599999994.png,engagement
vehicles,busy atmosphere,movement,neutral,201311_114.14111260000001_22.612017599999994.png,movement
buildings,monotony,disengagement,negative,201311_114.14111260000001_22.612017599999994.png,disengagement
roads,restriction,avoidance,negative,201311_114.14111260000001_22.612017599999994.png,avoidance
architecture,some visual interest,engagement,positive,201311_114.1699075_22.572947699999997.png,engagement
buildings,limited engagement,avoid prolonged stay,negative,201311_114.1699075_22.572947699999997.png,low engagement
vehicles,distraction,reduce exploration,negative,201311_114.1699075_22.572947699999997.png,avoidance
pergolas,pleasant impression,brief enjoyment,neutral,201311_114.1699075_22.572947699999997.png,temporary engagement
facades,not captivating,lack of curiosity,negative,201311_114.1699075_22.572947699999997.png,disinterest in the environment
cars,sense of everyday life,passive observation,negative,201311_114.1708255_22.6072058.png,passive observation
buildings,lack of engagement,disinterest,negative,201311_114.1708255_22.6072058.png,disinterest
greenery,mild interest,brief appreciation,neutral,201311_114.1708255_22.6072058.png,temporary engagement
utility poles,mundane environment,avoidance,negative,201311_114.1708255_22.6072058.png,avoidance
trees,sense of visual interest,hold attention,positive,201311_114.1753739_22.602115699999995.png,relaxed attention
wires,detracted experience,limit attention,negative,201311_114.1753739_22.602115699999995.png,fail to capture attention
infrastructure,detracted experience,limit attention,negative,201311_114.1753739_22.602115699999995.png,fail to capture attention
signs,detracted experience,limit attention,negative,201311_114.1753739_22.602115699999995.png,fail to capture attention
greenery,moderate fascination,exploration,positive,201311_114.1712754_22.5966659.png,exploration
structures,visual interest,engagement,positive,201311_114.1712754_22.5966659.png,engagement
powerlines,detracted appeal,avoidance,negative,201311_114.1712754_22.5966659.png,avoidance
road,less inviting,hesitation,negative,201311_114.1712754_22.5966659.png,avoidance
greenery,visual interest,engagement with environment,positive,201311_114.1766153913743_22.62211635756483.png,engagement with environment
highway,less captivating environment,limited engagement,negative,201311_114.1766153913743_22.62211635756483.png,limited engagement
vehicles,distraction,avoidance of space,negative,201311_114.1766153913743_22.62211635756483.png,avoidance of exploration
power lines,visual clutter,disengagement from surroundings,negative,201311_114.1766153913743_22.62211635756483.png,failure to draw attention
hills,aesthetic appeal,exploration,positive,201311_114.1766153913743_22.62211635756483.png,exploration
greenery,visually engaging scene,increased attention,positive,201311_114.1715729_22.579913799999993.png,increased attention
sunlight,enhanced mood,encouraged exploration,positive,201311_114.1715729_22.579913799999993.png,investigate various options
road,sense of curiosity,desire to wander,positive,201311_114.1715729_22.579913799999993.png,seek discovery
trees,feeling of intrigue,engagement with surroundings,positive,201311_114.1715729_22.579913799999993.png,engagement with surroundings
shadows,mystery,exploration of hidden areas,positive,201311_114.1715729_22.579913799999993.png,exploration of environment
landscape,sense of adventure,seeking new experiences,positive,201311_114.1715729_22.579913799999993.png,desire for exploration
greenery,visually engaging,increased attention,positive,201311_114.16919617982792_22.62714279983004.png,increased attention
highway,restrictive,decreased engagement,negative,201311_114.16919617982792_22.62714279983004.png,lower engagement
vehicles,dominant,limited fascination,negative,201311_114.16919617982792_22.62714279983004.png,low fascination
sky,some visual interest,temporary distraction,neutral,201311_114.16919617982792_22.62714279983004.png,distraction from restorative elements
hills,moderate fascination,short-term engagement,neutral,201311_114.16919617982792_22.62714279983004.png,short-term engagement
greenery,visual interest,exploration,positive,201311_114.1856469_22.5908533.png,exploration
buildings,urban contrast,engagement,neutral,201311_114.1856469_22.5908533.png,engagement
construction,detracting fascination,avoidance,negative,201311_114.1856469_22.5908533.png,avoidance
traffic,peaceful atmosphere,relaxation,positive,201311_114.1856469_22.5908533.png,relaxation
sky,calmness,enjoyment,positive,201311_114.1856469_22.5908533.png,enjoyment
road,repetitiveness,disengagement,negative,201311_114.1856469_22.5908533.png,disengagement
storefronts,moderate level of fascination,draw attention,positive,201311_114.186989_22.595263999999997.png,notice activity
advertisements,stimulated interest,explore surroundings,positive,201311_114.186989_22.595263999999997.png,explore surroundings
pedestrian,engaged observation,interact with environment,positive,201311_114.186989_22.595263999999997.png,engage with surroundings
trees,moderate fascination,engaging with surroundings,positive,201311_114.1832046_22.5984266.png,engaging with surroundings
vehicles,some visual interest,observing activity,neutral,201311_114.1832046_22.5984266.png,attention to environment
pedestrians,some engagement,interacting socially,positive,201311_114.1832046_22.5984266.png,interaction with others
infrastructure,mundane,limited exploration,negative,201311_114.1832046_22.5984266.png,limited exploration
greenery,visually engaging environment,increased interest,positive,201311_114.176878_22.581670799999998.png,desire for exploration
trees,sense of fascination,exploration,positive,201311_114.176878_22.581670799999998.png,exploration
road,slight distraction,reduced engagement,negative,201311_114.176878_22.581670799999998.png,reduced engagement
urban,mixed feelings,curiosity,neutral,201311_114.176878_22.581670799999998.png,curiosity
architecture,lack of interest,become bored,negative,201312_113.7839461_22.716497199999996.png,disinterest or boredom
structures,lack of engagement,lose attention,negative,201312_113.7839461_22.716497199999996.png,disengagement
tunnel,limited fascination,lack of engagement,negative,201311_114.231161_22.596456399999994.png,lack of engagement
tiles,minimal visual interest,disinterest,negative,201311_114.231161_22.596456399999994.png,disinterest
lights,lack of stimulation,inability to focus,negative,201311_114.231161_22.596456399999994.png,difficulty in being captivated
cars,confinement,avoidance of exploration,negative,201311_114.231161_22.596456399999994.png,reduced curiosity
highway,moderate fascination,limited attention,negative,201311_114.1860739_22.6130437.png,lower engagement
landscape,visual interest,mild engagement,positive,201311_114.1860739_22.6130437.png,temporary engagement
guardrails,distraction,avoidance of focus,negative,201311_114.1860739_22.6130437.png,reduced attention span
billboards,visual clutter,decreased attention,negative,201311_114.1860739_22.6130437.png,decrease in engagement
facades,limited attention,avoid boredom,negative,201312_113.78218214006371_22.68964439788343.png,avoid boredom
trees,lack of wonder,minimal engagement,negative,201312_113.78218214006371_22.68964439788343.png,minimal engagement
environment,functional mindset,routine behavior,negative,201312_113.78218214006371_22.68964439788343.png,avoidance of engagement
architecture,low fascination,lack of engagement,negative,201312_113.78476114628427_22.697658317071774.png,lack of engagement
greenery,boredom,disinterest,negative,201312_113.78476114628427_22.697658317071774.png,disinterest
activity,visual monotony,inactivity,negative,201312_113.78476114628427_22.697658317071774.png,limited exploration
intersection,functional environment,lack of engagement,negative,201312_113.8278184_22.7315766.png,lack of engagement
traffic,overwhelmed senses,distraction from surroundings,negative,201312_113.8278184_22.7315766.png,distract focus
buildings,mundane atmosphere,indifference,negative,201312_113.8278184_22.7315766.png,reduced curiosity
greenery,minimal appeal,short-lived interest,negative,201312_113.8278184_22.7315766.png,short-lived interest
designs,limited fascination,prevent boredom,negative,201312_113.83443584337306_22.74126975401547.png,prevent boredom
windows,lack of captivating views,hard to be engrossed,negative,201312_113.83443584337306_22.74126975401547.png,difficulty in deep engagement
vehicles,minimal visual interest,prevent boredom,negative,201312_113.83443584337306_22.74126975401547.png,prevent boredom
signs,minimal visual interest,prevent boredom,negative,201312_113.83443584337306_22.74126975401547.png,prevent boredom
buildings,moderate fascination,limited engagement,negative,201312_113.830443_22.644925700000005.png,limited engagement
traffic,limited fascination,prevent deep engagement,negative,201312_113.830443_22.644925700000005.png,reduced attention span
trees,some visual interest,encourages observation,positive,201312_113.830443_22.644925700000005.png,promotes relaxation
greenery,visual interest,promotes relaxation,positive,201312_113.830443_22.644925700000005.png,seeking calm spaces
signs,moderate engagement,casual observation,neutral,201312_113.83572026600113_22.73146253989801.png,casual observation
facades,limited fascination,passing through,negative,201312_113.83572026600113_22.73146253989801.png,transit through space
activity,sense of busyness,increased movement,positive,201312_113.83572026600113_22.73146253989801.png,encourage walking
buildings,mundane experience,minimal exploration,negative,201312_113.83572026600113_22.73146253989801.png,lower engagement
trees,some visual interest,exploration,positive,201312_113.8360353_22.761185699999995.png,exploration
buildings,limited fascination,disengagement,negative,201312_113.8360353_22.761185699999995.png,disengagement
street,narrowness,hesitation,negative,201312_113.8360353_22.761185699999995.png,avoidance
trees,limited fascination,difficulty in deep engagement,negative,201312_113.8235017_22.698809100000002.png,disengagement
buildings,everyday urban activity,lack of deep attention,negative,201312_113.8235017_22.698809100000002.png,reduced attention span
traffic,overwhelmed senses,distraction from surroundings,negative,201312_113.8235017_22.698809100000002.png,distract focus
shops,interesting details,draw attention,positive,201312_113.8409926803816_22.75012227013069.png,notice activity
architecture,lack of sustained fascination,disengagement,negative,201312_113.8409926803816_22.75012227013069.png,disengagement
street,fleeting interest,temporary engagement,neutral,201312_113.8409926803816_22.75012227013069.png,short stays
buildings,routine urban activity,lack of engagement,negative,201312_113.8346455_22.695685499999996.png,lack of engagement
vehicles,monotony,disinterest,negative,201312_113.8346455_22.695685499999996.png,disinterest
signage,lack of intrigue,reduced exploration,negative,201312_113.8346455_22.695685499999996.png,reduced exploration
poles,detracted wonder,avoidance of details,negative,201312_113.8346455_22.695685499999996.png,reduced attention span
trees,sense of fascination,draws attention,positive,201312_113.83914327807292_22.754952015391464.png,draws attention
buildings,visual interest,exploration of environment,positive,201312_113.83914327807292_22.754952015391464.png,exploration of natural spaces
shadows,enhanced perception,increased observation,positive,201312_113.83914327807292_22.754952015391464.png,curiosity and observation
pedestrian,sense of activity,engagement with space,positive,201312_113.83914327807292_22.754952015391464.png,engagement with space
greenery,moderate fascination,exploration,positive,201312_113.85651230262431_22.656305210826364.png,exploration
architecture,utilitarian feeling,disengagement,negative,201312_113.85651230262431_22.656305210826364.png,disengagement
vehicles,crowdedness,avoidance,negative,201312_113.85651230262431_22.656305210826364.png,avoidance
buildings,functional urban environment,limited engagement,negative,201312_113.83718987956412_22.73739513103713.png,limited engagement
